,grib_message,start_byte,end_byte,range,reference_time,valid_time,variable,level,forecast_time,?,??,???,search_this
0,1,0,1572966.0,0-1572966,2024-04-01,2024-04-01 01:00:00,APTMP,2 m above ground,1 hour fcst,,,,:APTMP:2 m above ground:1 hour fcst:nan:nan
1,2,1572967,2887441.0,1572967-2887441,2024-04-01,2024-04-01 01:00:00,CDCB,reserved,1 hour fcst,,,,:CDCB:reserved:1 hour fcst:nan:nan
2,3,2887442,3648490.0,2887442-3648490,2024-04-01,2024-04-01 01:00:00,TCDC,reserved,1 hour fcst,,,,:TCDC:reserved:1 hour fcst:nan:nan
3,4,3648491,5288241.0,3648491-5288241,2024-04-01,2024-04-01 01:00:00,CDCTOP,reserved,1 hour fcst,,,,:CDCTOP:reserved:1 hour fcst:nan:nan
4,5,5288242,6924640.0,5288242-6924640,2024-04-01,2024-04-01 01:00:00,CDCB,reserved,1 hour fcst,,,,:CDCB:reserved:1 hour fcst:nan:nan
5,6,6924641,7702946.0,6924641-7702946,2024-04-01,2024-04-01 01:00:00,TCDC,reserved,1 hour fcst,,,,:TCDC:reserved:1 hour fcst:nan:nan
6,7,7702947,9447327.0,7702947-9447327,2024-04-01,2024-04-01 01:00:00,CDCTOP,reserved,1 hour fcst,,,,:CDCTOP:reserved:1 hour fcst:nan:nan
7,8,9447328,9624003.0,9447328-9624003,2024-04-01,2024-04-01 01:00:00,CDCB,reserved,1 hour fcst,,,,:CDCB:reserved:1 hour fcst:nan:nan
8,9,9624004,9890703.0,9624004-9890703,2024-04-01,2024-04-01 01:00:00,TCDC,reserved,1 hour fcst,,,,:TCDC:reserved:1 hour fcst:nan:nan
9,10,9890704,10084143.0,9890704-10084143,2024-04-01,2024-04-01 01:00:00,CDCTOP,reserved,1 hour fcst,,,,:CDCTOP:reserved:1 hour fcst:nan:nan
10,11,10084144,10820801.0,10084144-10820801,2024-04-01,2024-04-01 01:00:00,CDCB,high cloud layer,1 hour fcst,,,,:CDCB:high cloud layer:1 hour fcst:nan:nan
11,12,10820802,11170773.0,10820802-11170773,2024-04-01,2024-04-01 01:00:00,TCDC,high cloud layer,1 hour fcst,,,,:TCDC:high cloud layer:1 hour fcst:nan:nan
12,13,11170774,11181577.0,11170774-11181577,2024-04-01,2024-04-01 01:00:00,ICPRB,152.4 m above mean sea level,1 hour fcst,,,,:ICPRB:152.4 m above mean sea level:1 hour fcst:nan:nan
13,14,11181578,11204746.0,11181578-11204746,2024-04-01,2024-04-01 01:00:00,ICPRB,304.8 m above mean sea level,1 hour fcst,,,,:ICPRB:304.8 m above mean sea level:1 hour fcst:nan:nan
14,15,11204747,11246350.0,11204747-11246350,2024-04-01,2024-04-01 01:00:00,ICPRB,457.2 m above mean sea level,1 hour fcst,,,,:ICPRB:457.2 m above mean sea level:1 hour fcst:nan:nan
15,16,11246351,11314735.0,11246351-11314735,2024-04-01,2024-04-01 01:00:00,ICPRB,609.6 m above mean sea level,1 hour fcst,,,,:ICPRB:609.6 m above mean sea level:1 hour fcst:nan:nan
16,17,11314736,11402779.0,11314736-11402779,2024-04-01,2024-04-01 01:00:00,ICPRB,762 m above mean sea level,1 hour fcst,,,,:ICPRB:762 m above mean sea level:1 hour fcst:nan:nan
17,18,11402780,11533039.0,11402780-11533039,2024-04-01,2024-04-01 01:00:00,ICPRB,914.4 m above mean sea level,1 hour fcst,,,,:ICPRB:914.4 m above mean sea level:1 hour fcst:nan:nan
18,19,11533040,11692530.0,11533040-11692530,2024-04-01,2024-04-01 01:00:00,ICPRB,1066.8 m above mean sea level,1 hour fcst,,,,:ICPRB:1066.8 m above mean sea level:1 hour fcst:nan:nan
19,20,11692531,11865611.0,11692531-11865611,2024-04-01,2024-04-01 01:00:00,ICPRB,1219.2 m above mean sea level,1 hour fcst,,,,:ICPRB:1219.2 m above mean sea level:1 hour fcst:nan:nan
20,21,11865612,12044699.0,11865612-12044699,2024-04-01,2024-04-01 01:00:00,ICPRB,1371.6 m above mean sea level,1 hour fcst,,,,:ICPRB:1371.6 m above mean sea level:1 hour fcst:nan:nan
21,22,12044700,12234367.0,12044700-12234367,2024-04-01,2024-04-01 01:00:00,ICPRB,1524 m above mean sea level,1 hour fcst,,,,:ICPRB:1524 m above mean sea level:1 hour fcst:nan:nan
22,23,12234368,12424306.0,12234368-12424306,2024-04-01,2024-04-01 01:00:00,ICPRB,1676.4 m above mean sea level,1 hour fcst,,,,:ICPRB:1676.4 m above mean sea level:1 hour fcst:nan:nan
23,24,12424307,12628336.0,12424307-12628336,2024-04-01,2024-04-01 01:00:00,ICPRB,1828.8 m above mean sea level,1 hour fcst,,,,:ICPRB:1828.8 m above mean sea level:1 hour fcst:nan:nan
24,25,12628337,12858016.0,12628337-12858016,2024-04-01,2024-04-01 01:00:00,ICPRB,1981.2 m above mean sea level,1 hour fcst,,,,:ICPRB:1981.2 m above mean sea level:1 hour fcst:nan:nan
25,26,12858017,13091742.0,12858017-13091742,2024-04-01,2024-04-01 01:00:00,ICPRB,2133.6 m above mean sea level,1 hour fcst,,,,:ICPRB:2133.6 m above mean sea level:1 hour fcst:nan:nan
26,27,13091743,13347759.0,13091743-13347759,2024-04-01,2024-04-01 01:00:00,ICPRB,2286 m above mean sea level,1 hour fcst,,,,:ICPRB:2286 m above mean sea level:1 hour fcst:nan:nan
27,28,13347760,13598824.0,13347760-13598824,2024-04-01,2024-04-01 01:00:00,ICPRB,2438.4 m above mean sea level,1 hour fcst,,,,:ICPRB:2438.4 m above mean sea level:1 hour fcst:nan:nan
28,29,13598825,13871604.0,13598825-13871604,2024-04-01,2024-04-01 01:00:00,ICPRB,2590.8 m above mean sea level,1 hour fcst,,,,:ICPRB:2590.8 m above mean sea level:1 hour fcst:nan:nan
29,30,13871605,14146430.0,13871605-14146430,2024-04-01,2024-04-01 01:00:00,ICPRB,2743.2 m above mean sea level,1 hour fcst,,,,:ICPRB:2743.2 m above mean sea level:1 hour fcst:nan:nan
30,31,14146431,14435757.0,14146431-14435757,2024-04-01,2024-04-01 01:00:00,ICPRB,2895.6 m above mean sea level,1 hour fcst,,,,:ICPRB:2895.6 m above mean sea level:1 hour fcst:nan:nan
31,32,14435758,14733666.0,14435758-14733666,2024-04-01,2024-04-01 01:00:00,ICPRB,3048 m above mean sea level,1 hour fcst,,,,:ICPRB:3048 m above mean sea level:1 hour fcst:nan:nan
32,33,14733667,15032157.0,14733667-15032157,2024-04-01,2024-04-01 01:00:00,ICPRB,3200.4 m above mean sea level,1 hour fcst,,,,:ICPRB:3200.4 m above mean sea level:1 hour fcst:nan:nan
